id,text
data/img9251.png, 
data/img9251.png,Full
data/img9251.png,Name
data/img9251.png,Designation
data/img9251.png,Phone
data/img9251.png,Number
data/img9251.png,Address
data/img9251.png,Line
data/img9251.png,"1,"
data/img9251.png,Address
data/img9251.png,Line
data/img9251.png,1
data/img9251.png,Address
data/img9251.png,Line
data/img9251.png,"2,"
data/img9251.png,Address
data/img9251.png,Line
data/img9251.png,2
data/img9251.png,Address
data/img9251.png,Line
data/img9251.png,"3,"
data/img9251.png,Address
data/img9251.png,Line
data/img9251.png,3
data/img9251.png,E-mail
data/img9251.png,Address
data/img1747.png,Full
data/img1747.png,Name
data/img1747.png,Designation
data/img1747.png,Phone
data/img1747.png,Number
data/img1747.png,Company
data/img1747.png,Name
data/img1747.png,Address
data/img1747.png,Line
data/img1747.png,"1,"
data/img1747.png,Address
data/img1747.png,Line
data/img1747.png,"1,"
data/img1747.png,Address
data/img1747.png,Address
data/img1747.png,Line
data/img1747.png,"2,"
data/img1747.png,Address
data/img1747.png,Line
data/img1747.png,"2,"
data/img1747.png,Address
data/img1747.png,Line
data/img1747.png,2
data/img1747.png,E-mail
data/img1747.png,Address
data/img1747.png,Website
data/img1747.png,Address
data/img1747.png, 
data/img8958.png,Full
data/img8958.png,Name
data/img8958.png,Company
data/img8958.png,Name
data/img8958.png, 
data/img8958.png,Address
data/img8958.png,Line
data/img8958.png,"2,"
data/img8958.png,Address
data/img8958.png,Line
data/img8958.png,"2,"
data/img8958.png,Address
data/img8958.png,Line
data/img8958.png,2
data/img8958.png, 
data/img8958.png,E-Mail
data/img8958.png,Address
data/img6421.png,Your
data/img6421.png,Name
data/img6421.png,Desigination
data/img6421.png,+91-0000000000
data/img6421.png,&
data/img6421.png,Your
data/img6421.png,address
data/img6421.png,location
data/img6421.png,9
data/img6421.png,&
data/img6421.png,landmark
data/img9841.png,Im
data/img9841.png,\o
data/img9841.png,Your
data/img9841.png,Name
data/img9841.png,Desigination
data/img9841.png,+91-0000000000
data/img9841.png,Youmailid@gmail.com
data/img9841.png,Your
data/img9841.png,address
data/img9841.png,location
data/img9841.png,&
data/img9841.png,landmark
data/img8908.png,YOUR
data/img8908.png,NAME
data/img8908.png,0123
data/img8908.png,456
data/img8908.png,789
data/img8908.png,   
data/img8908.png,example@email.com
data/img8908.png,www.example.com
data/img1081.png,Company
data/img1081.png,Name
data/img1081.png,Full
data/img1081.png,Name
data/img1081.png,Designation
data/img1081.png,Phone
data/img1081.png,Number
data/img1081.png,Address
data/img1081.png,Line
data/img1081.png,"2,"
data/img1081.png,Address
data/img1081.png,Line
data/img1081.png,"2,"
data/img1081.png,Address
data/img1081.png,Lin:
data/img1081.png,E-mail
data/img1081.png,Address
data/img1081.png,Website
data/img1081.png,Address
data/img1081.png, 
data/img4213.png,Full
data/img4213.png,Name
data/img4213.png,Phone
data/img4213.png,Number
data/img4213.png,     
data/img4213.png,Address
data/img4213.png,Line
data/img4213.png,"2,"
data/img4213.png,Address
data/img4213.png,Line
data/img4213.png,"2,"
data/img4213.png,Address
data/img4213.png,Line
data/img4213.png,2
data/img4213.png,E-mail
data/img4213.png,Address
data/img4213.png,Website
data/img4213.png,Address
data/img6489.png,Full
data/img6489.png,N
data/img6489.png,company
data/img6489.png,Name
data/img6489.png,Phone
data/img6489.png,Number
data/img6489.png,Address
data/img6489.png,Line
data/img6489.png,"1,"
data/img6489.png,Address
data/img6489.png,Line
data/img6489.png,1
data/img6489.png,Address
data/img6489.png,Line
data/img6489.png,"2,"
data/img6489.png,Address
data/img6489.png,Line
data/img6489.png,2
data/img6489.png,E-mail
data/img6489.png,Address
data/img6489.png,Website
data/img6489.png,Address
data/img6489.png,    
data/img7754.png,Full
data/img7754.png,Name
data/img7754.png,Designation
data/img7754.png,Phone
data/img7754.png,Number
data/img7754.png,   
data/img7754.png,Address
data/img7754.png,Line
data/img7754.png,1
data/img7754.png,Address
data/img7754.png,Address
data/img7754.png,Line
data/img7754.png,2
data/img7754.png,Address
data/img7754.png,Line
data/img7754.png,2
data/img7754.png,Email
data/img7754.png,Address
data/img6399.png,  
data/img6399.png, 
data/img6399.png,Full
data/img6399.png,Name
data/img6399.png,Designation
data/img6399.png,Phone
data/img6399.png,Number
data/img6399.png,Address
data/img6399.png,Line
data/img6399.png,"1,"
data/img6399.png,Address
data/img6399.png,Address
data/img6399.png,Line
data/img6399.png,"2,"
data/img6399.png,Address
data/img6399.png,Line
data/img6399.png,2
data/img6399.png,E-mail
data/img6399.png,Address
data/img6399.png,Website
data/img6399.png,Address
data/img4330.png,Full
data/img4330.png,Name
data/img4330.png,Designation
data/img4330.png,Phone
data/img4330.png,Number
data/img4330.png,Address
data/img4330.png,Line
data/img4330.png,"1,"
data/img4330.png,Address
data/img4330.png,Line
data/img4330.png,"1,"
data/img4330.png,Address
data/img4330.png,Line
data/img4330.png,"2,"
data/img4330.png,Address
data/img4330.png,Line
data/img4330.png,"2,"
data/img4330.png,E-Mail
